,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
6,"(6,)",[0.56616244 0.54971024 0.5290993  0.54320167 0.55334145],0.5483030191979734,"('ARENACAPACITY_homeTeam',)",0.015648189050764115,0.012174822701907508,0.006087411350953754
25,"(25,)",[0.55575134 0.52875431 0.52712487 0.53938365 0.55048086],0.5402990033125226,"('HIST_FGpercent_homeTeam',)",0.01465593048065088,0.011402811824074524,0.005701405912037262
28,"(28,)",[0.55575134 0.52875431 0.52712487 0.53938365 0.55048086],0.5402990033125226,"('HIST_APG_homeTeam',)",0.01465593048065088,0.011402811824074524,0.005701405912037262
26,"(26,)",[0.55575134 0.52875431 0.52712487 0.53938365 0.55048086],0.5402990033125226,"('HIST_FTpercent_homeTeam',)",0.01465593048065088,0.011402811824074524,0.005701405912037262
27,"(27,)",[0.55575134 0.52875431 0.52712487 0.53938365 0.55048086],0.5402990033125226,"('HIST_FG3percent_homeTeam',)",0.01465593048065088,0.011402811824074524,0.005701405912037262
29,"(29,)",[0.55575134 0.52875431 0.52712487 0.53938365 0.55048086],0.5402990033125226,"('HIST_REB_homeTeam',)",0.01465593048065088,0.011402811824074524,0.005701405912037262
24,"(24,)",[0.55477881 0.52875431 0.52712487 0.53938365 0.55048086],0.5401044976584555,"('HIST_PPG_homeTeam',)",0.014321873549089953,0.011142904182308212,0.005571452091154106
9,"(9,)",[0.53370969 0.53636929 0.54898162 0.5142559  0.53625548],0.533914397526431,"('ARENACAPACITY_awayTeam',)",0.014370299142295368,0.011180580938998588,0.005590290469499293
13,"(13,)",[0.54105541 0.5516905  0.52298935 0.51651084 0.5353675 ],0.5335227179755696,"('W_homeTeam',)",0.016161671541624723,0.012574329524484942,0.006287164762242471
14,"(14,)",[0.53318862 0.53656226 0.51664139 0.53725301 0.5357034 ],0.5318697361075209,"('L_homeTeam',)",0.009944835662725696,0.007737420004353791,0.003868710002176895
7,"(7,)",[0.5669774  0.51428037 0.51641166 0.53686124 0.5181656 ],0.5305392552708852,"('YEARFOUNDED_homeTeam',)",0.025607649902674116,0.019923621600312434,0.009961810800156217
17,"(17,)",[0.54207332 0.5480475  0.52168725 0.51414446 0.52457317],0.5301051402196856,"('W_awayTeam',)",0.016473523313319756,0.012816960797493325,0.006408480398746663
18,"(18,)",[0.50641966 0.54762437 0.51887118 0.52551024 0.53665873],0.5270168339478254,"('L_awayTeam',)",0.018271950262748145,0.014216198062622984,0.007108099031311492
8,"(8,)",[0.54666959 0.51275795 0.5230073  0.53550906 0.51625774],0.5268403269805262,"('CONFERENCE_homeTeam',)",0.016190004858258732,0.01259637380740209,0.006298186903701045
15,"(15,)",[0.4902464  0.54438457 0.5335498  0.52233878 0.54051276],0.5262064603786067,"('W_PCT_homeTeam',)",0.025035960641729256,0.019478827933134164,0.009739413966567082
32,"(32,)",[0.53110804 0.51683974 0.5455671  0.50977855 0.52306575],0.5252718345266804,"('HIST_FTpercent_awayTeam',)",0.01586663469202046,0.012344780832121345,0.006172390416060672
31,"(31,)",[0.5302129  0.51683974 0.5455671  0.50977855 0.52306575],0.5250928063528795,"('HIST_FGpercent_awayTeam',)",0.01576419280939362,0.012265077567150217,0.006132538783575108
33,"(33,)",[0.5302129  0.51683974 0.5455671  0.50977855 0.52306575],0.5250928063528795,"('HIST_FG3percent_awayTeam',)",0.01576419280939362,0.012265077567150217,0.006132538783575108
34,"(34,)",[0.5302129  0.51683974 0.5455671  0.50977855 0.52306575],0.5250928063528795,"('HIST_APG_awayTeam',)",0.01576419280939362,0.012265077567150217,0.006132538783575108
30,"(30,)",[0.5302129  0.51683974 0.5455671  0.50977855 0.52306575],0.5250928063528795,"('HIST_PPG_awayTeam',)",0.01576419280939362,0.012265077567150217,0.006132538783575108
35,"(35,)",[0.5302129  0.51683974 0.5455671  0.50977855 0.52306575],0.5250928063528795,"('HIST_REB_awayTeam',)",0.01576419280939362,0.012265077567150217,0.006132538783575108
