,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
4,"(4, 6, 29, 35)",[0.60362103 0.61613396 0.60276293 0.58972224 0.59700133],0.6018482979848555,"('SEASON', 'ARENACAPACITY_homeTeam', 'HIST_REB_homeTeam', 'HIST_REB_awayTeam')",0.011184151455014233,0.008701649794385001,0.0043508248971925005
5,"(2, 4, 6, 29, 35)",[0.60362103 0.61613396 0.60276293 0.58972224 0.59700133],0.6018482979848555,"('HOME_TEAM_ID', 'SEASON', 'ARENACAPACITY_homeTeam', 'HIST_REB_homeTeam', 'HIST_REB_awayTeam')",0.011184151455014233,0.008701649794385001,0.0043508248971925005
6,"(2, 3, 4, 6, 29, 35)",[0.60362103 0.61613396 0.60276293 0.58972224 0.59700133],0.6018482979848555,"('HOME_TEAM_ID', 'VISITOR_TEAM_ID', 'SEASON', 'ARENACAPACITY_homeTeam', 'HIST_REB_homeTeam', 'HIST_REB_awayTeam')",0.011184151455014233,0.008701649794385001,0.0043508248971925005
9,"(2, 3, 4, 5, 6, 11, 27, 29, 35)",[0.60243699 0.61699429 0.6050328  0.59071528 0.59399089],0.6018340492632631,"('HOME_TEAM_ID', 'VISITOR_TEAM_ID', 'SEASON', 'TEAM_ID_away', 'ARENACAPACITY_homeTeam', 'CONFERENCE_awayTeam', 'HIST_FG3percent_homeTeam', 'HIST_REB_homeTeam', 'HIST_REB_awayTeam')",0.011857750666555499,0.009225732865343244,0.004612866432671622
7,"(2, 3, 4, 5, 6, 29, 35)",[0.60362103 0.61214252 0.60276293 0.58972224 0.60060277],0.6017702981958941,"('HOME_TEAM_ID', 'VISITOR_TEAM_ID', 'SEASON', 'TEAM_ID_away', 'ARENACAPACITY_homeTeam', 'HIST_REB_homeTeam', 'HIST_REB_awayTeam')",0.00924181167287737,0.007190443456216225,0.0035952217281081124
8,"(2, 3, 4, 5, 6, 11, 29, 35)",[0.59849691 0.61643274 0.60741035 0.58957559 0.59523553],0.6014302237584123,"('HOME_TEAM_ID', 'VISITOR_TEAM_ID', 'SEASON', 'TEAM_ID_away', 'ARENACAPACITY_homeTeam', 'CONFERENCE_awayTeam', 'HIST_REB_homeTeam', 'HIST_REB_awayTeam')",0.012170941671702866,0.009469406107475709,0.004734703053737853
14,"(2, 3, 4, 5, 6, 8, 11, 24, 27, 28, 29, 32, 35, 47)",[0.60353567 0.62862554 0.60500309 0.58310917 0.5864189 ],0.6013384709973251,"('HOME_TEAM_ID', 'VISITOR_TEAM_ID', 'SEASON', 'TEAM_ID_away', 'ARENACAPACITY_homeTeam', 'CONFERENCE_homeTeam', 'CONFERENCE_awayTeam', 'HIST_PPG_homeTeam', 'HIST_FG3percent_homeTeam', 'HIST_APG_homeTeam', 'HIST_REB_homeTeam', 'HIST_FTpercent_awayTeam', 'HIST_REB_awayTeam', 'REB19_homeTeam')",0.02086563991977833,0.01623417673195481,0.008117088365977404
12,"(2, 3, 4, 5, 6, 8, 11, 27, 29, 32, 35, 47)",[0.60043638 0.62001829 0.60037381 0.58821303 0.5919671 ],0.6002017213384898,"('HOME_TEAM_ID', 'VISITOR_TEAM_ID', 'SEASON', 'TEAM_ID_away', 'ARENACAPACITY_homeTeam', 'CONFERENCE_homeTeam', 'CONFERENCE_awayTeam', 'HIST_FG3percent_homeTeam', 'HIST_REB_homeTeam', 'HIST_FTpercent_awayTeam', 'HIST_REB_awayTeam', 'REB19_homeTeam')",0.01413023595582364,0.010993803624188123,0.005496901812094061
13,"(2, 3, 4, 5, 6, 8, 11, 24, 27, 29, 32, 35, 47)",[0.60007278 0.62255173 0.60199388 0.58670621 0.5894036 ],0.6001456385431032,"('HOME_TEAM_ID', 'VISITOR_TEAM_ID', 'SEASON', 'TEAM_ID_away', 'ARENACAPACITY_homeTeam', 'CONFERENCE_homeTeam', 'CONFERENCE_awayTeam', 'HIST_PPG_homeTeam', 'HIST_FG3percent_homeTeam', 'HIST_REB_homeTeam', 'HIST_FTpercent_awayTeam', 'HIST_REB_awayTeam', 'REB19_homeTeam')",0.016272652441937728,0.012660676435314405,0.006330338217657203
10,"(2, 3, 4, 5, 6, 11, 27, 29, 35, 47)",[0.6039591  0.61648878 0.60187323 0.5815389  0.59542727],0.5998574576612178,"('HOME_TEAM_ID', 'VISITOR_TEAM_ID', 'SEASON', 'TEAM_ID_away', 'ARENACAPACITY_homeTeam', 'CONFERENCE_awayTeam', 'HIST_FG3percent_homeTeam', 'HIST_REB_homeTeam', 'HIST_REB_awayTeam', 'REB19_homeTeam')",0.014684794327070204,0.011425268877188489,0.0057126344385942445
