,0
HIST_REB_homeTeam,0.04258536
DIFF_HIST_FG,0.037844967
HIST_FGpercent_awayTeam,0.032729153
HIST_REB_awayTeam,0.029978499
HIST_FTpercent_awayTeam,0.028992768
HIST_FTpercent_homeTeam,0.028824097
FGper19_homeTeam,0.027948689
SEASON,0.027605187
PPG19_homeTeam,0.027281215
HIST_APG_awayTeam,0.02726984
FG3per19_awayTeam,0.026967809
HIST_FGpercent_homeTeam,0.026343996
HIST_FG3percent_awayTeam,0.02508144
GAME_ID,0.024108166
APG19_awayTeam,0.023927102
FGper19_awayTeam,0.023917435
W_PCT_awayTeam,0.023513991
W_PCT_homeTeam,0.02297575
L_awayTeam,0.022820428
REB19_awayTeam,0.02262963
W_awayTeam,0.022383623
DIFF_FG19,0.022238448
GAME_DATE_EST,0.022196747
ARENACAPACITY_awayTeam,0.021773348
ARENACAPACITY_homeTeam,0.021683946
PPG19_awayTeam,0.021566445
W_homeTeam,0.021334674
DIFF_APG19,0.020611735
HIST_PPG_homeTeam,0.020541158
DIFF_FG319,0.02050154
G_homeTeam,0.02022952
DIFF_HIST_FT,0.020080835
DIFF_HIST_PPG,0.020065272
L_homeTeam,0.019587789
DIFF_REB19,0.019365827
DIFF_HIST_APG,0.018977454
G_awayTeam,0.018457573
DIFF_PPG19,0.017913485
WEEKDAY,0.016176173
DIFF_HIST_REB,0.015456094
MONTH_NUM,0.014239017
CONFERENCE_homeTeam,0.013480974
PLAYOFF_GAME,0.013196548
CONFERENCE_awayTeam,0.004596163
WEEKEND_GAME,0.0
TEAM_ID_away,0.0
VISITOR_TEAM_ID,0.0
HOME_TEAM_ID,0.0
